id,first_name,last_name,email,status,can_login
0501440c-0114-5d53-bb84-3db3dea7335c,Natalie,Dixon,natalie.dixon@crm-seed-data.abc,active,False
0a00439f-76ff-5fae-b93c-22540659582e,Carly,James,carly.james@crm-seed-data.abc,active,False
cdc701e9-8c9d-5013-a8ce-96656d840406,Hayley,Godfrey,hayley.godfrey@crm-seed-data.abc,active,False
06992024-2cc2-5a57-a9e6-e6adaded018e,Louise,Shepherd,louise.shepherd@crm-seed-data.abc,active,False
9a350f2f-c1fa-51a0-bc24-7ec6a370b01b,Leanne,Briggs,leanne.briggs@crm-seed-data.abc,active,True
676d2791-cc38-5d3c-971b-c03280df17da,Harry,Davies,harry.davies@crm-seed-data.abc,active,False
7e273cfc-ef90-5840-b7cc-e6b4d995ea42,Ruth,Nolan,ruth.nolan@crm-seed-data.abc,active,False
41bc09ce-2a8f-5148-8050-00047e6dc98e,Rosie,Ali,rosie.ali@crm-seed-data.abc,active,False
82215045-ac74-5993-898d-42cbfb3c6344,Abdul,Gibbons,abdul.gibbons@crm-seed-data.abc,active,False
5c37cdb8-6b22-58b6-a889-485dc31d5c05,Henry,Collins,henry.collins@crm-seed-data.abc,active,True
7f024ebd-5a64-5afe-b292-4d01fd190f50,Connor,Smith,connor.smith@crm-seed-data.abc,active,False
9df7b8bf-351b-5e30-89a6-82005d1a179f,Leslie,Barnes,leslie.barnes@crm-seed-data.abc,active,False
9812d956-d5e4-5d7e-8612-28026dcd072f,Bruce,Khan,bruce.khan@crm-seed-data.abc,active,False
85c08c7b-ff28-59f3-afb5-94373e48830e,Mandy,Welch,mandy.welch@crm-seed-data.abc,active,False
95d21cc9-763d-51eb-9964-f9a3daa87e3b,Anna,Howells,anna.howells@crm-seed-data.abc,active,True
8561f6b4-a461-5a0f-9bd7-cc73526e73bb,Brandon,Browne,brandon.browne@crm-seed-data.abc,active,False
59cce8c2-3411-5823-bb4b-1b5c9ad186eb,Edward,Clarke,edward.clarke@crm-seed-data.abc,active,False
87fa71b1-aac6-536c-bf04-3d8fdc6b1282,Elliott,Wilson,elliott.wilson@crm-seed-data.abc,active,False
47dfaa82-3c6b-5e14-9fe7-e13640a5db9b,Daniel,Miller,daniel.miller@crm-seed-data.abc,active,False
c4e44d3e-20ae-5443-804d-353533332e60,Amy,Marshall,amy.marshall@crm-seed-data.abc,active,True
0ba917eb-3677-5b87-a202-950180d75fb9,Aaron,Harrison,aaron.harrison@crm-seed-data.abc,active,False
e6ed36bc-ca38-5f36-b58f-dcb6e544cb93,Gavin,Williams,gavin.williams@crm-seed-data.abc,active,False
1d3f89bf-5ddb-5aad-8069-0d4aa57e4722,Kathryn,Simpson,kathryn.simpson@crm-seed-data.abc,active,False
d17408e6-e69b-5e70-84d5-7a78a69b0511,Megan,Shah,megan.shah@crm-seed-data.abc,active,False
d596feae-e6d9-57f5-af88-aaf40d976564,Kate,Chambers,kate.chambers@crm-seed-data.abc,active,True
4b1919f6-449e-5c65-879b-2252f8022b9b,Shane,Evans,shane.evans@crm-seed-data.abc,active,False
cf2f656e-0260-56fe-9467-7514019dca3b,Rachael,Garner,rachael.garner@crm-seed-data.abc,active,False
c2fa7270-6900-5480-88ba-997f55f702cb,Grace,Campbell,grace.campbell@crm-seed-data.abc,active,False
a0517e92-fe0f-56cb-b503-c0c83c6388e1,Callum,Davies,callum.davies@crm-seed-data.abc,active,False
dbf82876-f28a-5d7a-a26c-2afde512e303,Leigh,Preston,leigh.preston@crm-seed-data.abc,active,True
e2684d1f-12e6-593e-a215-c6841c1c0a39,Debra,Allen,debra.allen@crm-seed-data.abc,active,False
c131d73a-0531-5d67-b85a-8f322fb0b69a,Tina,Dobson,tina.dobson@crm-seed-data.abc,active,False
a4874405-be60-516b-ab41-d592efe48b91,Ross,Hughes,ross.hughes@crm-seed-data.abc,active,False
b27432a5-ba16-54d0-962a-9888d43baf1e,Jake,Elliott,jake.elliott@crm-seed-data.abc,active,False
883ad074-9359-5c05-91cf-de363b036a85,Lynn,O'Donnell,lynn.o'donnell@crm-seed-data.abc,active,True
91ab2e53-2248-5260-9dad-cb2328e3749b,Edward,O'Brien,edward.o'brien@crm-seed-data.abc,active,False
465ffae9-67c5-500d-95d8-fc2f4cfcee66,Allan,Howard,allan.howard@crm-seed-data.abc,active,False
8735a13c-5a9b-547f-967d-a1fc5ba4a9f6,Rosemary,McDonald,rosemary.mcdonald@crm-seed-data.abc,active,False
0a07e29f-8005-553e-9ff2-137415634b78,Chloe,Taylor,chloe.taylor@crm-seed-data.abc,active,False
