id,contact_id,phone_type,number,is_primary,start_date,end_date
8f17b644-7688-5a9b-980f-c34780bb53b4,0501440c-0114-5d53-bb84-3db3dea7335c,mobile,0131 4960976,True,2026-01-01,
9191ddf0-b062-5f40-868d-f81a8cd8f06d,0501440c-0114-5d53-bb84-3db3dea7335c,home,+44306 9990790,False,2026-01-01,
ade32f44-0dc5-548a-b077-fa19a934600e,0a00439f-76ff-5fae-b93c-22540659582e,mobile,+44(0)117 496 0177,True,2026-01-01,
e5118c29-bb18-5960-9e55-3768d4a5498f,cdc701e9-8c9d-5013-a8ce-96656d840406,mobile,(0117) 496 0596,True,2026-01-01,
0626a014-cb08-5970-81d3-6b4946926707,06992024-2cc2-5a57-a9e6-e6adaded018e,mobile,02074960439,True,2026-01-01,
5ad6866c-aefb-557d-ae3c-a2ebd7c4ab33,676d2791-cc38-5d3c-971b-c03280df17da,mobile,(01632) 960 233,True,2026-01-01,
6b996852-56b6-565d-9739-efc62c1f10e1,7e273cfc-ef90-5840-b7cc-e6b4d995ea42,mobile,+44(0)116 496 0649,True,2026-01-01,
2dfcdbf1-7a02-52c6-803e-ede1b26d7e0c,7e273cfc-ef90-5840-b7cc-e6b4d995ea42,work,+44(0)116 496 0110,False,2026-01-01,
ac08c2ef-0db7-5b29-b84b-98238bef19be,82215045-ac74-5993-898d-42cbfb3c6344,mobile,+44117 4960669,True,2026-01-01,
1edcfff5-c691-5bae-a783-94c9ea7e2a20,5c37cdb8-6b22-58b6-a889-485dc31d5c05,mobile,+44(0)808 157 0993,True,2026-01-01,
f35c2fb9-6ecc-5bce-8a2c-b88fc744c738,7f024ebd-5a64-5afe-b292-4d01fd190f50,mobile,01184960682,True,2026-01-01,
15e0210c-fd62-55d1-bcfe-58ebeed64b59,9df7b8bf-351b-5e30-89a6-82005d1a179f,mobile,+44(0)114 496 0739,True,2026-01-01,
38c20c83-fa14-5d5c-bec8-4bd4ae29c8c2,9812d956-d5e4-5d7e-8612-28026dcd072f,mobile,(0151) 4960541,True,2026-01-01,
2b84ed5b-d3bc-5970-83e3-43229088b6c0,85c08c7b-ff28-59f3-afb5-94373e48830e,mobile,+44(0)131 4960675,True,2026-01-01,
f3596a6f-8e05-50cf-8415-0c6c529f972a,85c08c7b-ff28-59f3-afb5-94373e48830e,home,01164960468,False,2026-01-01,
9f9693ed-9576-596f-91c6-1fbad62e4575,8561f6b4-a461-5a0f-9bd7-cc73526e73bb,mobile,020 74960068,True,2026-01-01,
95c0245e-e72c-5014-8e38-0b154f014b7b,59cce8c2-3411-5823-bb4b-1b5c9ad186eb,mobile,0118 496 0187,True,2026-01-01,
2e7804a7-e0e6-5f74-977d-faea6f449c16,59cce8c2-3411-5823-bb4b-1b5c9ad186eb,work,+441614960204,False,2026-01-01,
400bfa82-5d64-5a17-a89d-924eb6198b2a,87fa71b1-aac6-536c-bf04-3d8fdc6b1282,mobile,+448081570051,True,2026-01-01,
81d97615-244b-57ed-b25d-fc4463d4ad5b,87fa71b1-aac6-536c-bf04-3d8fdc6b1282,work,+44(0)118 496 0630,False,2026-01-01,
62600178-e636-56b2-9d1d-fa994fb9b493,47dfaa82-3c6b-5e14-9fe7-e13640a5db9b,mobile,0116 4960881,True,2026-01-01,
ac8a8690-f348-55ab-ae32-14950d8013a2,c4e44d3e-20ae-5443-804d-353533332e60,mobile,01154960702,True,2026-01-01,
f87304ab-a6e2-55fe-8c9d-35493d2c5ed1,e6ed36bc-ca38-5f36-b58f-dcb6e544cb93,mobile,+442074960682,True,2026-01-01,
39c31e72-f799-5744-981f-a88cd2065071,e6ed36bc-ca38-5f36-b58f-dcb6e544cb93,home,+4428 9018796,False,2026-01-01,
118f3361-c0b8-51b4-9752-a01d480dfe2d,1d3f89bf-5ddb-5aad-8069-0d4aa57e4722,mobile,(0117) 4960426,True,2026-01-01,
bf176e24-3575-5aea-b4c9-63aa77c7c177,d17408e6-e69b-5e70-84d5-7a78a69b0511,mobile,+4420 74960920,True,2026-01-01,
18f91873-d0d6-5aba-b76f-eb3c6c747fee,d17408e6-e69b-5e70-84d5-7a78a69b0511,work,+44(0)121 4960592,False,2026-01-01,
d056f9e2-1586-53fd-9e6b-9a90b68c6789,d596feae-e6d9-57f5-af88-aaf40d976564,mobile,+44(0)1174960041,True,2026-01-01,
08fe6b69-067b-5824-8a15-73c2cc83c590,4b1919f6-449e-5c65-879b-2252f8022b9b,mobile,(0909)8790351,True,2026-01-01,
c14863c7-c8d3-58b9-bbe4-c91ec4427c08,c2fa7270-6900-5480-88ba-997f55f702cb,mobile,+441174960368,True,2026-01-01,
d16b8d24-9609-5534-a017-4c7ad7156608,a0517e92-fe0f-56cb-b503-c0c83c6388e1,mobile,0115 4960986,True,2026-01-01,
07cbf6a2-0562-59b3-ae55-8643c669dda3,dbf82876-f28a-5d7a-a26c-2afde512e303,mobile,(0113)4960721,True,2026-01-01,
ae67f37b-1a12-56ab-9298-b92bf2401201,dbf82876-f28a-5d7a-a26c-2afde512e303,home,(0116) 496 0494,False,2026-01-01,
2cb52fdd-97e4-5f77-b5ed-e2fe4d78c11d,e2684d1f-12e6-593e-a215-c6841c1c0a39,mobile,(0191)4960977,True,2026-01-01,
c99d31b0-1c05-5d84-ae8e-0c0e96dd2c30,c131d73a-0531-5d67-b85a-8f322fb0b69a,mobile,0116 4960043,True,2026-01-01,
272eadb5-80d7-5790-bd7a-7203f64a85bf,b27432a5-ba16-54d0-962a-9888d43baf1e,mobile,(0151) 496 0180,True,2026-01-01,
90bcc6e4-1399-51e4-a942-f057b896eb8a,b27432a5-ba16-54d0-962a-9888d43baf1e,home,(0161) 4960089,False,2026-01-01,
806c8072-97b3-5e86-971e-b3397e1777b9,883ad074-9359-5c05-91cf-de363b036a85,mobile,+44(0)808 1570692,True,2026-01-01,
f6e26554-a473-5e59-96c7-1bd2e21e9b69,883ad074-9359-5c05-91cf-de363b036a85,work,+44(0)161 496 0509,False,2026-01-01,
4094d9a0-d699-5c1d-bf82-612b3a2b0169,91ab2e53-2248-5260-9dad-cb2328e3749b,mobile,0808 1570817,True,2026-01-01,
c17b19a8-f5c0-54ad-a5e6-bd054f74622a,91ab2e53-2248-5260-9dad-cb2328e3749b,work,+441184960204,False,2026-01-01,
2e1aeba7-19bb-5e4f-a726-e197bcaef427,465ffae9-67c5-500d-95d8-fc2f4cfcee66,mobile,(0131) 4960034,True,2026-01-01,
1693153a-248c-5640-9e63-bda48d3bdbf7,465ffae9-67c5-500d-95d8-fc2f4cfcee66,home,+44(0)116 4960913,False,2026-01-01,
14a66aea-259c-5a61-9598-9d997017e709,8735a13c-5a9b-547f-967d-a1fc5ba4a9f6,mobile,+44(0)1632 960019,True,2026-01-01,
31a0b412-d3e1-5707-bc10-5ca762eab5ed,8735a13c-5a9b-547f-967d-a1fc5ba4a9f6,work,+44141 4960141,False,2026-01-01,
